COUNTRY,WEEK_START,EVENTS,TOTAL_MENTIONS,TOTAL_ARTICLES,AVG_TONE,AVG_GOLDSTEIN,LAT_CENTROID,LONG_CENTROID
NG,2021-01-11,240,1511,1433,-5.1486040255353229,-7.4525,15.27242125,6.5642738750000005
NG,2021-01-18,248,1356,1346,-5.425146702624855,-7.1193548387096772,15.351646370967741,7.4117921048387094
NG,2021-01-25,222,1355,1307,-5.4472704036802142,-6.7094594594594588,15.434702702702705,7.9768233333333329
NG,2021-02-01,227,1202,1201,-4.803492728745562,-6.5471365638766521,15.285966079295155,7.3840252863436122
NG,2021-02-08,129,780,775,-2.9951924325353105,-6.1813953488372091,15.441328682170543,7.1715310077519367
NG,2021-02-15,1181,6566,6481,-4.7784382928949949,-7.4447078746824724,14.51428636748518,6.8925266740050821
NG,2021-02-22,1237,7808,7554,-5.0438220977008816,-7.0326596604688776,14.453786095392081,6.0547530396119651
NG,2021-03-01,417,2576,2526,-5.3702467345165079,-6.9364508393285389,14.860833812949641,6.6663274436450841
NG,2021-03-08,303,2021,1991,-5.0726391570755753,-7.1904290429042907,15.263640924092408,7.3664229702970294
NG,2021-03-15,548,3743,3676,-7.2290828976145223,-7.70602189781022,14.965635583941607,4.5986012627737232
NG,2021-03-22,986,6314,6157,-7.7371581168271781,-7.85030425963489,15.021766227180525,5.0942843103448272
NG,2021-03-29,702,4860,4641,-5.3528564383294261,-6.6725071225071231,14.93511866096866,5.5416702849002855
NG,2021-04-05,270,1554,1529,-4.3436210655206482,-6.2955555555555556,15.428611851851851,7.0417932222222221
NG,2021-04-12,413,2442,2347,-5.4379096959461535,-7.2498789346246983,15.174645520581114,6.6167287651331739
NG,2021-04-19,397,2343,2268,-5.0363700525171025,-7.3365239294710314,15.354240050377832,7.2469427707808558
NG,2021-04-26,485,2492,2454,-5.4818780124932891,-7.4643298969072163,15.384535876288659,6.9118379793814428
NG,2021-05-03,430,2573,2479,-7.3636548299788327,-7.8858139534883716,15.265036976744186,6.0272554186046516
NG,2021-05-10,182,948,926,-4.9011293913733853,-6.3043956043956051,15.197379670329669,5.48167176923077
NG,2021-05-17,307,1591,1591,-5.4970106221444075,-8.1986970684039076,15.329222149837134,7.4012232964169389
NG,2021-05-24,382,2285,2256,-5.6950149636759431,-7.4219895287958106,15.081026963350787,6.9753720471204188
NG,2021-05-31,757,4854,4744,-6.574122148875615,-8.0239101717305132,15.488537384412153,7.3108518705416117
NG,2021-06-07,358,2349,2330,-6.041461311445552,-7.3625698324022339,15.62748994413408,7.3686466815642451
NG,2021-06-14,262,1540,1520,-4.3425601774087594,-6.4503816793893138,15.45050496183206,7.7871481679389314
NG,2021-06-21,350,2290,2236,-5.848977949587292,-7.4485714285714275,14.979286,6.5869614685714275
NG,2021-06-28,238,1383,1363,-4.2872774419879667,-6.5142857142857142,15.217971848739495,7.8697061008403368
NG,2021-07-05,244,1263,1246,-3.5107754480755879,-6.6971311475409836,15.237784426229512,7.3700727459016386
NG,2021-07-12,245,1355,1331,-5.1712962307013361,-6.5510204081632653,15.142586122448979,6.0851842693877556
NG,2021-07-19,232,1250,1220,-4.9361790363047549,-7.057758620689655,15.791605172413794,7.4488823275862073
NG,2021-07-26,236,1337,1279,-6.028330174021951,-7.827118644067796,15.099552966101694,5.2974863983050842
NG,2021-08-02,234,1348,1338,-6.8490451986026013,-7.8688034188034193,15.188433333333334,6.4339052991453
NG,2021-08-09,262,1714,1662,-6.2087905157429333,-7.7339694656488556,15.47686717557252,7.1397477480916027
NG,2021-08-16,453,3056,2984,-7.0994411213397051,-8.12869757174393,15.160408609271524,5.3473520132450343
NG,2021-08-23,435,2571,2500,-6.8185330191267122,-8.0358620689655158,14.853512413793103,8.8798637931034481
NG,2021-08-30,267,1594,1534,-5.5626100132596221,-7.4029962546816481,15.298228464419477,7.17192265917603
NG,2021-09-06,231,1241,1231,-5.4601455228730034,-7.1090909090909085,15.293997402597403,7.4344351082251086
NG,2021-09-13,550,2383,2382,-6.0024106972051259,-7.7079999999999984,15.375669090909089,5.7970180181818183
NG,2021-09-20,280,1374,1364,-5.0745320950580846,-6.3178571428571422,15.011178928571431,6.8776196785714276
NG,2021-09-27,495,2789,2663,-5.4509528540188814,-7.4468686868686866,15.136250303030302,6.7506539636363643
NG,2021-10-04,272,1659,1607,-5.0808827423607612,-6.6529411764705877,15.048416911764708,6.4863137132352939
NG,2021-10-11,183,1089,1059,-5.5274275360376377,-6.6983606557377042,15.269575956284152,6.7737960109289617
NG,2021-10-18,286,1758,1737,-6.8942862323001792,-7.9681818181818187,14.919665734265735,5.4981742937062936
NG,2021-10-25,345,1980,1929,-5.9565923612318059,-7.89855072463768,15.603676231884057,7.1165333913043476
NG,2021-11-01,540,3371,3331,-7.9186169893414053,-8.0133333333333319,15.088144444444447,5.4112428703703719
NG,2021-11-08,367,2217,2206,-6.1627628497198019,-7.3705722070844688,15.091910354223431,5.3053707738419611
NG,2021-11-15,394,2452,2417,-6.7954404185847554,-7.8159898477157359,15.414935279187816,6.6776958375634505
NG,2021-11-22,242,1440,1432,-5.9302142271582934,-7.0363636363636362,15.04652479338843,5.7599361570247938
NG,2021-11-29,226,1411,1381,-5.993465934188805,-7.1061946902654869,15.036226548672566,6.273100592920354
NG,2021-12-06,397,2664,2617,-6.855428561125299,-7.8702770780856435,14.923420403022671,5.94693167254408
